Epsilon,Series,BPK,FPR
0.100000,Theoretical,9.965784,0.100000
0.100000,Adaptive,13.636000,0.059320
0.100000,SODA,13.636000,0.059350
0.100000,Truncation,4.289800,0.019320
0.050000,Theoretical,10.965784,0.050000
0.050000,Adaptive,14.637100,0.030390
0.050000,SODA,14.637100,0.030400
0.050000,Truncation,4.804800,0.010190
0.020000,Theoretical,12.287712,0.020000
0.020000,Adaptive,15.638400,0.015130
0.020000,SODA,15.638400,0.015140
0.020000,Truncation,5.315600,0.004920
0.010000,Theoretical,13.287712,0.010000
0.010000,Adaptive,16.638400,0.007680
0.010000,SODA,16.638400,0.007690
0.010000,Truncation,5.821200,0.002450
0.005000,Theoretical,14.287712,0.005000
0.005000,Adaptive,17.638400,0.003570
0.005000,SODA,17.638400,0.003570
0.005000,Truncation,6.324700,0.001130
0.002000,Theoretical,15.609640,0.002000
0.002000,Adaptive,18.638400,0.001880
0.002000,SODA,18.638400,0.001880
0.002000,Truncation,7.325700,0.000270
0.001000,Theoretical,16.609640,0.001000
0.001000,Adaptive,19.638400,0.000970
0.001000,SODA,19.638400,0.000970
0.001000,Truncation,7.826200,0.000120
