Epsilon,Series,BPK,FPR
0.100000,Theoretical,9.965784,0.100000
0.100000,Adaptive (t=0),13.636000,0.057770
0.100000,SODA,13.636000,0.057770
0.100000,Truncation,7.525000,0.036980
0.100000,Hybrid,7.525000,0.036980
0.050000,Theoretical,10.965784,0.050000
0.050000,Adaptive (t=0),14.637100,0.029680
0.050000,SODA,14.637100,0.029680
0.050000,Truncation,8.574700,0.018900
0.050000,Hybrid,8.574700,0.018900
0.020000,Theoretical,12.287712,0.020000
0.020000,Adaptive (t=0),15.638400,0.014980
0.020000,SODA,15.638400,0.014980
0.020000,Truncation,9.605600,0.009140
0.020000,Hybrid,9.605600,0.009140
0.010000,Theoretical,13.287712,0.010000
0.010000,Adaptive (t=0),16.638400,0.007560
0.010000,SODA,16.638400,0.007560
0.010000,Truncation,10.617700,0.004630
0.010000,Hybrid,10.617700,0.004630
0.005000,Theoretical,14.287712,0.005000
0.005000,Adaptive (t=0),17.638400,0.003840
0.005000,SODA,17.638400,0.003840
0.005000,Truncation,11.626400,0.002350
0.005000,Hybrid,11.626400,0.002350
0.002000,Theoretical,15.609640,0.002000
0.002000,Adaptive (t=0),18.638400,0.002030
0.002000,SODA,18.638400,0.002030
0.002000,Truncation,13.637200,0.000600
0.002000,Hybrid,13.637200,0.000600
0.001000,Theoretical,16.609640,0.001000
0.001000,Adaptive (t=0),19.638400,0.000960
0.001000,SODA,19.638400,0.000960
0.001000,Truncation,14.637100,0.000350
0.001000,Hybrid,14.637100,0.000350
