Epsilon,Series,BPK,FPR
0.100000,Theoretical,9.965784,0.100000
0.100000,Adaptive (Unif),13.636000,0.057770
0.100000,Adaptive (Seq),13.638400,0.059380
0.100000,SODA (Unif),13.636000,0.057770
0.100000,SODA (Seq),13.638400,0.059390
0.100000,Truncation (Unif),7.525000,0.036980
0.100000,Truncation (Seq),0.002200,0.000000
0.100000,Hybrid (Unif),7.525000,0.036980
0.100000,Hybrid (Seq),0.002200,0.000000
0.050000,Theoretical,10.965784,0.050000
0.050000,Adaptive (Unif),14.637100,0.029680
0.050000,Adaptive (Seq),13.638400,0.059380
0.050000,SODA (Unif),14.637100,0.029680
0.050000,SODA (Seq),14.638400,0.030050
0.050000,Truncation (Unif),8.574700,0.018900
0.050000,Truncation (Seq),0.002300,0.000000
0.050000,Hybrid (Unif),8.574700,0.018900
0.050000,Hybrid (Seq),0.002300,0.000000
0.020000,Theoretical,12.287712,0.020000
0.020000,Adaptive (Unif),15.638400,0.014980
0.020000,Adaptive (Seq),13.638400,0.059380
0.020000,SODA (Unif),15.638400,0.014980
0.020000,SODA (Seq),15.638400,0.014730
0.020000,Truncation (Unif),9.605600,0.009140
0.020000,Truncation (Seq),0.002400,0.000000
0.020000,Hybrid (Unif),9.605600,0.009140
0.020000,Hybrid (Seq),0.002400,0.000000
0.010000,Theoretical,13.287712,0.010000
0.010000,Adaptive (Unif),16.638400,0.007560
0.010000,Adaptive (Seq),13.638400,0.059380
0.010000,SODA (Unif),16.638400,0.007560
0.010000,SODA (Seq),16.638400,0.007260
0.010000,Truncation (Unif),10.617700,0.004630
0.010000,Truncation (Seq),0.002500,0.000000
0.010000,Hybrid (Unif),10.617700,0.004630
0.010000,Hybrid (Seq),0.002500,0.000000
0.005000,Theoretical,14.287712,0.005000
0.005000,Adaptive (Unif),17.638400,0.003840
0.005000,Adaptive (Seq),13.638400,0.059380
0.005000,SODA (Unif),17.638400,0.003840
0.005000,SODA (Seq),17.638400,0.003410
0.005000,Truncation (Unif),11.626400,0.002350
0.005000,Truncation (Seq),0.002600,0.000000
0.005000,Hybrid (Unif),11.626400,0.002350
0.005000,Hybrid (Seq),0.002600,0.000000
0.002000,Theoretical,15.609640,0.002000
0.002000,Adaptive (Unif),18.638400,0.002030
0.002000,Adaptive (Seq),13.638400,0.059380
0.002000,SODA (Unif),18.638400,0.002030
0.002000,SODA (Seq),18.638400,0.001680
0.002000,Truncation (Unif),13.637200,0.000600
0.002000,Truncation (Seq),0.002800,0.000000
0.002000,Hybrid (Unif),13.637200,0.000600
0.002000,Hybrid (Seq),0.002800,0.000000
0.001000,Theoretical,16.609640,0.001000
0.001000,Adaptive (Unif),19.638400,0.000960
0.001000,Adaptive (Seq),13.638400,0.059380
0.001000,SODA (Unif),19.638400,0.000960
0.001000,SODA (Seq),19.638400,0.000870
0.001000,Truncation (Unif),14.637100,0.000350
0.001000,Truncation (Seq),0.002900,0.000000
0.001000,Hybrid (Unif),14.637100,0.000350
0.001000,Hybrid (Seq),0.002900,0.000000
