Scenario,N,K,BitsPerKey,ActualFPR
uniform_wide,200000,18,2.9324,0.0001394467
spread_gap,200000,27,12.2731,0.0000000000
spread_gap,200000,21,6.2731,0.0000399546
uniform_wide,200000,19,4.0604,0.0000916364
uniform_point,200000,18,2.9324,0.5345080000
uniform_point,200000,22,7.4662,0.0462740000
uniform_point,200000,19,4.0604,0.3168220000
uniform_point,200000,23,8.5271,0.0236880000
uniform_point,200000,21,6.3702,0.0909060000
uniform_point,200000,20,5.2346,0.1734960000
uniform_point,200000,24,9.5618,0.0118840000
uniform_wide,200000,20,5.2346,0.0000557787
uniform_wide,200000,22,7.4662,0.0000239051
uniform_wide,200000,21,6.3702,0.0000358577
uniform_point,200000,26,11.5959,0.0029460000
uniform_point,200000,27,12.6037,0.0014560000
uniform_point,200000,25,10.5820,0.0059300000
spread_point,200000,26,11.2731,0.0030120000
uniform_point,200000,28,13.6079,0.0007480000
spread_point,200000,27,12.2731,0.0015020000
uniform_wide,200000,24,9.5618,0.0000039842
uniform_wide,200000,23,8.5271,0.0000119526
uniform_wide,200000,26,11.5959,0.0000039842
uniform_wide,200000,25,10.5820,0.0000039842
uniform_wide,200000,28,13.6079,0.0000039842
uniform_wide,200000,27,12.6037,0.0000039842
clustered_point,200000,23,0.0661,0.0001100000
spread_gap,200000,18,3.2731,0.0002477176
spread_gap,200000,19,4.2731,0.0001078775
clustered_point,200000,18,0.0126,0.0003900000
spread_gap,200000,22,7.2731,0.0000319637
spread_gap,200000,24,9.2731,0.0000039955
spread_point,200000,18,3.2731,0.7626620000
spread_gap,200000,28,13.2731,0.0000000000
spread_point,200000,19,4.2731,0.3832080000
spread_gap,200000,23,8.2731,0.0000159818
spread_point,200000,22,7.2731,0.0479800000
spread_point,200000,20,5.2731,0.1917880000
spread_point,200000,21,6.2731,0.0961340000
spread_point,200000,23,8.2731,0.0239820000
spread_point,200000,25,10.2731,0.0059220000
spread_point,200000,24,9.2731,0.0119140000
clustered_point,200000,19,0.0132,0.0002100000
clustered_point,200000,22,0.0369,0.0001100000
spread_point,200000,28,13.2731,0.0008220000
clustered_point,200000,20,0.0135,0.0001100000
clustered_point,200000,21,0.0216,0.0001100000
clustered_point,200000,24,0.1248,0.0001100000
clustered_point,200000,25,0.2410,0.0001100000
clustered_point,200000,26,0.4725,0.0001100000
clustered_point,200000,27,0.9344,0.0001100000
clustered_point,200000,28,1.8586,0.0001100000
spread_gap,200000,20,5.2731,0.0000679228
spread_gap,200000,25,10.2731,0.0000000000
spread_gap,200000,26,11.2731,0.0000000000
