n,w_bits,s_bits,bucket_size,m_delimiters,e_bits,i_bits,s_required_bits,s_margin_bits,checks,trials,successes,failures,fail_rate,success_rate,avg_attempts_success,p50_attempts_success,p95_attempts_success,max_attempts_success,epsilon_target_query,theory_query_fp_by_s
1024,64,8,256,4,8,8,11,-3,6,64,64,0,0.00000000,1.00000000,2.390625,2.00,7.00,13,0.00390625,0.02320981
1024,64,16,256,4,8,8,11,5,6,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00009155
1024,64,32,256,4,8,8,11,21,6,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
1024,128,8,256,4,8,8,11,-3,7,64,64,0,0.00000000,1.00000000,3.093750,2.00,8.00,21,0.00390625,0.02702539
1024,128,16,256,4,8,8,11,5,7,64,64,0,0.00000000,1.00000000,1.015625,1.00,1.00,2,0.00390625,0.00010681
1024,128,32,256,4,8,8,11,21,7,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
1024,256,8,256,4,16,8,11,-3,8,64,64,0,0.00000000,1.00000000,3.406250,2.00,14.00,19,0.00390625,0.03082608
1024,256,16,256,4,16,8,11,5,8,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00012206
1024,256,32,256,4,16,8,11,21,8,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
1024,512,8,256,4,16,8,12,-4,9,64,64,0,0.00000000,1.00000000,3.984375,2.00,11.00,22,0.00390625,0.03461191
1024,512,16,256,4,16,8,12,4,9,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00013732
1024,512,32,256,4,16,8,12,20,9,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
1024,1024,8,256,4,16,8,12,-4,10,64,64,0,0.00000000,1.00000000,3.609375,3.00,10.00,15,0.00390625,0.03838296
1024,1024,16,256,4,16,8,12,4,10,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00015258
1024,1024,32,256,4,16,8,12,20,10,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
1024,2048,8,256,4,16,8,12,-4,11,64,64,0,0.00000000,1.00000000,5.046875,3.00,19.00,30,0.00390625,0.04213927
1024,2048,16,256,4,16,8,12,4,11,64,64,0,0.00000000,1.00000000,1.015625,1.00,1.00,2,0.00390625,0.00016783
