n,w_bits,s_bits,bucket_size,m_delimiters,e_bits,i_bits,s_required_bits,s_margin_bits,checks,trials,successes,failures,fail_rate,success_rate,avg_attempts_success,p50_attempts_success,p95_attempts_success,max_attempts_success,avg_size_bytes_success,avg_size_bits_success,bpk,epsilon_target_query,theory_query_fp_by_s
1024,64,8,256,4,8,8,11,-3,6,1,1,0,0.00000000,1.00000000,4.000000,4.00,4.00,4,1876.000000,15008.000000,14.656250,0.00390625,0.02320981
1024,64,16,256,4,8,8,11,5,6,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,1908.000000,15264.000000,14.906250,0.00390625,0.00009155
1024,64,32,256,4,8,8,11,21,6,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,1900.000000,15200.000000,14.843750,0.00390625,0.00000000
1024,128,8,256,4,8,8,11,-3,7,1,1,0,0.00000000,1.00000000,3.000000,3.00,3.00,3,1988.000000,15904.000000,15.531250,0.00390625,0.02702539
1024,128,16,256,4,8,8,11,5,7,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,1940.000000,15520.000000,15.156250,0.00390625,0.00010681
1024,128,32,256,4,8,8,11,21,7,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,1948.000000,15584.000000,15.218750,0.00390625,0.00000000
1024,256,8,256,4,16,8,11,-3,8,1,1,0,0.00000000,1.00000000,2.000000,2.00,2.00,2,1980.000000,15840.000000,15.468750,0.00390625,0.03082608
1024,256,16,256,4,16,8,11,5,8,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,2060.000000,16480.000000,16.093750,0.00390625,0.00012206
1024,256,32,256,4,16,8,11,21,8,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,2148.000000,17184.000000,16.781250,0.00390625,0.00000000
1024,512,8,256,4,16,8,12,-4,9,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,2252.000000,18016.000000,17.593750,0.00390625,0.03461191
1024,512,16,256,4,16,8,12,4,9,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,2156.000000,17248.000000,16.843750,0.00390625,0.00013732
1024,512,32,256,4,16,8,12,20,9,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,2180.000000,17440.000000,17.031250,0.00390625,0.00000000
1024,1024,8,256,4,16,8,12,-4,10,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,2364.000000,18912.000000,18.468750,0.00390625,0.03838296
1024,1024,16,256,4,16,8,12,4,10,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,2404.000000,19232.000000,18.781250,0.00390625,0.00015258
1024,1024,32,256,4,16,8,12,20,10,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,2396.000000,19168.000000,18.718750,0.00390625,0.00000000
1024,2048,8,256,4,16,8,12,-4,11,1,1,0,0.00000000,1.00000000,4.000000,4.00,4.00,4,2948.000000,23584.000000,23.031250,0.00390625,0.04213927
1024,2048,16,256,4,16,8,12,4,11,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,2908.000000,23264.000000,22.718750,0.00390625,0.00016783
1024,2048,32,256,4,16,8,12,20,11,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,2988.000000,23904.000000,23.343750,0.00390625,0.00000000
2048,64,8,256,8,8,8,11,-3,6,1,1,0,0.00000000,1.00000000,28.000000,28.00,28.00,28,3728.000000,29824.000000,14.562500,0.00390625,0.02320981
2048,64,16,256,8,8,8,11,5,6,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,3896.000000,31168.000000,15.218750,0.00390625,0.00009155
2048,64,32,256,8,8,8,11,21,6,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,3832.000000,30656.000000,14.968750,0.00390625,0.00000000
2048,128,8,256,8,8,8,11,-3,7,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.02702539
2048,128,16,256,8,8,8,11,5,7,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,3928.000000,31424.000000,15.343750,0.00390625,0.00010681
2048,128,32,256,8,8,8,11,21,7,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,3976.000000,31808.000000,15.531250,0.00390625,0.00000000
2048,256,8,256,8,16,8,11,-3,8,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03082608
2048,256,16,256,8,16,8,11,5,8,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,3992.000000,31936.000000,15.593750,0.00390625,0.00012206
2048,256,32,256,8,16,8,11,21,8,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,4072.000000,32576.000000,15.906250,0.00390625,0.00000000
2048,512,8,256,8,16,8,12,-4,9,1,1,0,0.00000000,1.00000000,86.000000,86.00,86.00,86,4152.000000,33216.000000,16.218750,0.00390625,0.03461191
2048,512,16,256,8,16,8,12,4,9,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,4344.000000,34752.000000,16.968750,0.00390625,0.00013732
2048,512,32,256,8,16,8,12,20,9,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,4264.000000,34112.000000,16.656250,0.00390625,0.00000000
2048,1024,8,256,8,16,8,12,-4,10,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03838296
2048,1024,16,256,8,16,8,12,4,10,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,4840.000000,38720.000000,18.906250,0.00390625,0.00015258
2048,1024,32,256,8,16,8,12,20,10,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,4696.000000,37568.000000,18.343750,0.00390625,0.00000000
2048,2048,8,256,8,16,8,12,-4,11,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.04213927
