n,w_bits,s_bits,bucket_size,m_delimiters,e_bits,i_bits,s_required_bits,s_margin_bits,checks,trials,successes,failures,fail_rate,success_rate,avg_attempts_success,p50_attempts_success,p95_attempts_success,max_attempts_success,epsilon_target_query,theory_query_fp_by_s
4096,128,8,256,16,8,8,11,-3,7,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02702539
4096,128,16,256,16,8,8,11,5,7,128,128,0,0.00000000,1.00000000,1.070312,1.00,2.00,2,0.00390625,0.00010681
4096,128,32,256,16,8,8,11,21,7,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
4096,512,8,256,16,16,8,12,-4,9,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03461191
4096,512,16,256,16,16,8,12,4,9,128,128,0,0.00000000,1.00000000,1.125000,1.00,2.00,2,0.00390625,0.00013732
4096,512,32,256,16,16,8,12,20,9,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
4096,2048,8,256,16,16,8,12,-4,11,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.04213927
4096,2048,16,256,16,16,8,12,4,11,128,128,0,0.00000000,1.00000000,1.109375,1.00,2.00,3,0.00390625,0.00016783
4096,2048,32,256,16,16,8,12,20,11,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
16384,128,8,256,64,8,8,11,-3,7,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02702539
16384,128,16,256,64,8,8,11,5,7,128,128,0,0.00000000,1.00000000,1.546875,1.00,3.00,4,0.00390625,0.00010681
16384,128,32,256,64,8,8,11,21,7,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
16384,512,8,256,64,16,8,12,-4,9,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03461191
16384,512,16,256,64,16,8,12,4,9,128,128,0,0.00000000,1.00000000,1.812500,1.00,4.00,12,0.00390625,0.00013732
16384,512,32,256,64,16,8,12,20,9,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
16384,2048,8,256,64,16,8,12,-4,11,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.04213927
16384,2048,16,256,64,16,8,12,4,11,128,128,0,0.00000000,1.00000000,2.062500,2.00,6.00,8,0.00390625,0.00016783
16384,2048,32,256,64,16,8,12,20,11,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
65536,128,8,256,256,8,16,11,-3,7,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02702539
65536,128,16,256,256,8,16,11,5,7,128,128,0,0.00000000,1.00000000,7.054688,5.00,21.00,37,0.00390625,0.00010681
65536,128,32,256,256,8,16,11,21,7,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
65536,512,8,256,256,16,16,12,-4,9,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03461191
65536,512,16,256,256,16,16,12,4,9,128,127,1,0.00781250,0.99218750,16.417323,11.00,41.00,88,0.00390625,0.00013732
65536,512,32,256,256,16,16,12,20,9,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
65536,2048,8,256,256,16,16,12,-4,11,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.04213927
65536,2048,16,256,256,16,16,12,4,11,128,114,14,0.10937500,0.89062500,27.771930,23.00,72.00,93,0.00390625,0.00016783
65536,2048,32,256,256,16,16,12,20,11,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
131072,128,8,256,512,8,16,11,-3,7,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02702539
131072,128,16,256,512,8,16,11,5,7,128,36,92,0.71875000,0.28125000,53.277778,58.00,92.00,100,0.00390625,0.00010681
131072,128,32,256,512,8,16,11,21,7,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
131072,512,8,256,512,16,16,12,-4,9,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03461191
131072,512,16,256,512,16,16,12,4,9,128,1,127,0.99218750,0.00781250,19.000000,19.00,19.00,19,0.00390625,0.00013732
131072,512,32,256,512,16,16,12,20,9,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
131072,2048,8,256,512,16,16,12,-4,11,128,0,128,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.04213927
131072,2048,16,256,512,16,16,12,4,11,128,1,127,0.99218750,0.00781250,18.000000,18.00,18.00,18,0.00390625,0.00016783
131072,2048,32,256,512,16,16,12,20,11,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
