n,w_bits,s_bits,bucket_size,m_delimiters,e_bits,i_bits,s_required_bits,s_margin_bits,checks,trials,successes,failures,fail_rate,success_rate,avg_attempts_success,p50_attempts_success,p95_attempts_success,max_attempts_success,epsilon_target_query,theory_query_fp_by_s
4096,64,8,256,16,8,8,11,-3,6,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02320981
4096,128,8,256,16,8,8,11,-3,7,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02702539
4096,256,8,256,16,16,8,11,-3,8,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03082608
4096,512,8,256,16,16,8,12,-4,9,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03461191
4096,1024,8,256,16,16,8,12,-4,10,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03838296
4096,2048,8,256,16,16,8,12,-4,11,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.04213927
8192,64,8,256,32,8,8,11,-3,6,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02320981
8192,128,8,256,32,8,8,11,-3,7,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02702539
8192,256,8,256,32,16,8,11,-3,8,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03082608
8192,512,8,256,32,16,8,12,-4,9,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03461191
8192,1024,8,256,32,16,8,12,-4,10,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03838296
8192,2048,8,256,32,16,8,12,-4,11,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.04213927
