goos: darwin
goarch: arm64
pkg: Thesis/rloc
BenchmarkMemoryComparison/KeySize=64/Keys=32-16         	       1	    379167 ns/op	        64.00 avg_string_length	         8.000 lerl_E_bits	         8.000 lerl_I_bits	        16.00 lerl_S_bits	       165.2 lerl_bits_per_key	       661.0 lerl_total_bytes	         2.241 lerl_vs_rl_ratio	         8.000 rl_E_bits	         8.000 rl_I_bits	        16.00 rl_S_bits	        73.75 rl_bits_per_key	       295.0 rl_total_bytes	  187528 B/op	    4829 allocs/op
BenchmarkMemoryComparison/KeySize=64/Keys=256-16        	       1	   2225833 ns/op	        64.00 avg_string_length	         8.000 lerl_E_bits	         8.000 lerl_I_bits	        16.00 lerl_S_bits	       127.4 lerl_bits_per_key	      4076 lerl_total_bytes	         2.364 lerl_vs_rl_ratio	         8.000 rl_E_bits	         8.000 rl_I_bits	        16.00 rl_S_bits	        53.88 rl_bits_per_key	      1724 rl_total_bytes	 1446400 B/op	   41328 allocs/op
BenchmarkMemoryComparison/KeySize=64/Keys=1024-16       	       1	  10004042 ns/op	        64.00 avg_string_length	         8.000 lerl_E_bits	         8.000 lerl_I_bits	        16.00 lerl_S_bits	       123.6 lerl_bits_per_key	     15825 lerl_total_bytes	         2.345 lerl_vs_rl_ratio	         8.000 rl_E_bits	         8.000 rl_I_bits	        16.00 rl_S_bits	        52.73 rl_bits_per_key	      6749 rl_total_bytes	 6149584 B/op	  192864 allocs/op
BenchmarkMemoryComparison/KeySize=64/Keys=8192-16       	       1	 103741125 ns/op	        64.00 avg_string_length	         8.000 lerl_E_bits	         8.000 lerl_I_bits	        16.00 lerl_S_bits	       115.3 lerl_bits_per_key	    118082 lerl_total_bytes	         2.249 lerl_vs_rl_ratio	         8.000 rl_E_bits	         8.000 rl_I_bits	        16.00 rl_S_bits	        51.27 rl_bits_per_key	     52497 rl_total_bytes	58530720 B/op	 2082655 allocs/op
BenchmarkMemoryComparison/KeySize=64/Keys=32768-16      	       1	 700781791 ns/op	        64.00 avg_string_length	         8.000 lerl_E_bits	        16.00 lerl_I_bits	        16.00 lerl_S_bits	       116.1 lerl_bits_per_key	    475392 lerl_total_bytes	         2.232 lerl_vs_rl_ratio	         8.000 rl_E_bits	        16.00 rl_I_bits	        16.00 rl_S_bits	        52.01 rl_bits_per_key	    213024 rl_total_bytes	327996656 B/op	14163843 allocs/op
BenchmarkMemoryComparison/KeySize=128/Keys=32-16        	       1	    315042 ns/op	       128.0 avg_string_length	         8.000 lerl_E_bits	         8.000 lerl_I_bits	        16.00 lerl_S_bits	       204.0 lerl_bits_per_key	       816.0 lerl_total_bytes	         2.511 lerl_vs_rl_ratio	         8.000 rl_E_bits	         8.000 rl_I_bits	        16.00 rl_S_bits	        81.25 rl_bits_per_key	       325.0 rl_total_bytes	  222464 B/op	    5366 allocs/op
BenchmarkMemoryComparison/KeySize=128/Keys=256-16       	       1	   2232667 ns/op	       128.0 avg_string_length	         8.000 lerl_E_bits	         8.000 lerl_I_bits	        16.00 lerl_S_bits	       142.1 lerl_bits_per_key	      4546 lerl_total_bytes	         2.596 lerl_vs_rl_ratio	         8.000 rl_E_bits	         8.000 rl_I_bits	        16.00 rl_S_bits	        54.72 rl_bits_per_key	      1751 rl_total_bytes	 1669232 B/op	   45559 allocs/op
BenchmarkMemoryComparison/KeySize=128/Keys=1024-16      	       1	  10454208 ns/op	       128.0 avg_string_length	         8.000 lerl_E_bits	         8.000 lerl_I_bits	        16.00 lerl_S_bits	       135.0 lerl_bits_per_key	     17278 lerl_total_bytes	         2.576 lerl_vs_rl_ratio	         8.000 rl_E_bits	         8.000 rl_I_bits	        16.00 rl_S_bits	        52.40 rl_bits_per_key	      6707 rl_total_bytes	 6984008 B/op	  211247 allocs/op
BenchmarkMemoryComparison/KeySize=128/Keys=8192-16      	       1	 108456583 ns/op	       128.0 avg_string_length	         8.000 lerl_E_bits	         8.000 lerl_I_bits	        16.00 lerl_S_bits	       127.0 lerl_bits_per_key	    130013 lerl_total_bytes	         2.471 lerl_vs_rl_ratio	         8.000 rl_E_bits	         8.000 rl_I_bits	        16.00 rl_S_bits	        51.38 rl_bits_per_key	     52614 rl_total_bytes	62463768 B/op	 2177906 allocs/op
BenchmarkMemoryComparison/KeySize=128/Keys=32768-16     	       1	 484014250 ns/op	       128.0 avg_string_length	         8.000 lerl_E_bits	        16.00 lerl_I_bits	        16.00 lerl_S_bits	       128.3 lerl_bits_per_key	    525594 lerl_total_bytes	         2.437 lerl_vs_rl_ratio	         8.000 rl_E_bits	        16.00 rl_I_bits	        16.00 rl_S_bits	        52.66 rl_bits_per_key	    215710 rl_total_bytes	231170176 B/op	 8215294 allocs/op
BenchmarkMemoryComparison/KeySize=256/Keys=32-16        	       1	    349375 ns/op	       256.0 avg_string_length	        16.00 lerl_E_bits	         8.000 lerl_I_bits	        16.00 lerl_S_bits	       277.2 lerl_bits_per_key	      1109 lerl_total_bytes	         3.252 lerl_vs_rl_ratio	        16.00 rl_E_bits	         8.000 rl_I_bits	        16.00 rl_S_bits	        85.25 rl_bits_per_key	       341.0 rl_total_bytes	  254896 B/op	    6047 allocs/op
